 Tutorial/Deselects everything., 教程/取消选择所有内容。
 Team/Guard/Team guard an area from a location., 队伍/警戒/队伍从一个位置警戒一个区域。
 Team/Guard/Team guard an area., 队伍/警戒/队伍警戒一个区域。
 Team/Guard/Team guard at location., 队伍/警戒/队伍在位置警戒。
 Team/Guard/Team guard current location., 队伍/警戒/队伍在当前位置警戒。
 Team/Guard/Team guard nearest kindof., 队伍/警戒/队伍警戒最近的指定种类对象。
 Team/Move/Face a waypoint., 队伍/移动/面向一个路标。
 Team/Move/Face another unit., 队伍/移动/面向另一个单位。
 Team/Move/Follow a waypoint path -- wander., 队伍/移动/跟随一个路标路径-徘徊。
 Team/Move/Set team to follow a waypoint path starting at waypoint., 队伍/移动/设置队伍跟随从路标开始的路径。
 Team/Move/Set team to move to a location., 队伍/移动/设置队伍移动到一个位置。
 Team/Move/Set team to move to home position (designated in team template)., 队伍/移动/设置队伍移动到家庭位置（在队伍模板中指定）。
 Team/Move/Set to EXACTLY follow a waypoint path., 队伍/移动/设置严格遵循路标路径。
 Team/Move/Set to wander around current location., 队伍/移动/设置队伍徘徊在当前位置周围。
 Team/Move/Team stops, then disbands., 队伍/移动/队伍停止，然后解散。
 Team/Move/Team stops., 队伍/移动/队伍停止。
 Team/Move/Team will move to the nearest object that matches both kindof and player specified., 队伍/移动/队伍将移动到最接近同时符合种类和玩家指定条件的对象。
 Team/Move/Team will move to the nearest object that matches both type and player specified., 队伍/移动/队伍将移动到最接近同时符合类型和玩家指定条件的对象。
 Team/Move/Team will move to the nearest object that matches kindof specified., 队伍/移动/队伍将移动到最接近同时符合指定种类的对象。
 Team/Move/Team will move to the nearest object that matches type specified., 队伍/移动/队伍将移动到最接近同时符合指定类型的对象。
 Team/Move/Teleport team to waypoint., 队伍/移动/将队伍传送到路标。
 Team/SequentialScript/Delay a sequential script until the specified command ability is ready - all., 队伍/顺序脚本/顺序脚本延迟，直到所有指定的命令能力都准备好。
 Team/SequentialScript/Delay a sequential script until the specified command ability is ready - partial., 队伍/顺序脚本/顺序脚本延迟，直到部分指定的命令能力准备好。
 Team/SequentialScript/Delay a sequential script until the team is no longer contained - all, 队伍/顺序脚本/顺序脚本延迟，直到队伍不再受限制为止。
 Team/SequentialScript/Execute script sequentially -- stop., 队伍/顺序脚本/顺序执行脚本-停止。
 Team/SequentialScript/Idle for some number of frames., 队伍/顺序脚本/空闲一定数量的帧。
 Team/SequentialScript/Idle for some number of seconds., 队伍/顺序脚本/空闲一定数量的秒数。
 Team/Settings/Change Custom Model Condition flag - all., 队伍/设定/更改所有自定义模型条件标志。
 Team/Settings/Change Object flags - all., 队伍/设定/更改所有对象标志。
 Team/Settings/Change object status., 队伍/设定/更改对象状态。
 Team/Settings/Change status of the Scripted AI Recruitable flag for team members., 队伍/设定/更改队伍成员 Scripted AI Recruitable 标志的状态。
 Team/Settings/Clear model condition flag on a team., 队伍/设定/清除队伍上的模型条件标志。
 Team/Settings/Enables or disables the house color, 队伍/设定/启用或禁用家族颜色。
 Team/Settings/Set a Team's current stance, 队伍/设定/设置队伍的当前立场。
 Team/Spawn, Build, or Merge/Decrease priority by specific amount., 队伍/Spawn, Build, or Merge/按指定数量降低优先级。
 Team/Spawn, Build, or Merge/Increase priority by specific amount., 队伍/Spawn, Build, or Merge/按指定数量增加优先级。
 Team/Spawn, Build, or Merge/Merge Team into another team., 队伍/Spawn, Build, or Merge/将队伍合并到另一个队伍中。
 Team/Spawn, Build, or Merge/Spawn a reinforcement team at location., 队伍/Spawn, Build, or Merge/在位置处生成一个加强队伍。
 Team/Spawn, Build, or Merge/Spawn a reinforcement team at named object's position., 队伍/Spawn, Build, or Merge/在命名对象的位置生成一个加强队伍。
 Team/Spawn, Build, or Merge/Start building Team., 队伍/Spawn, Build, or Merge/开始建造队伍。
 Team/Upgrades/Give Team the specified upgrade, 队伍/Upgrades/给队伍指定的升级。
 SkirmishAI/Allow AI Auto-Acquire for named object., 遭遇战AI/允许AI自动获取指定对象。
 SkirmishAI/Allow AI Auto-Acquire for Player., 遭遇战AI/允许AI自动获取玩家。
 SkirmishAI/Allow AI Auto-Acquire for team., 遭遇战AI/允许AI自动获取队伍。
 SkirmishAI/Beacon/Spawn an AI Beacon at a waypoint., 遭遇战AI/信标/在路径点处生成AI信标。
 SkirmishAI/Beacon/Spawn an AI Beacon on a named object, 遭遇战AI/信标/在指定对象上生成AI信标。
 SkirmishAI/Build Control/Consider all enemies when deciding what to build, 遭遇战AI/建筑控制/考虑所有敌人来决定要建造什么。
 SkirmishAI/Build Control/Consider specific enemy when deciding what to build, 遭遇战AI/建筑控制/考虑特定敌人来决定要建造什么。
 SkirmishAI/Build Control/Don't consider any enemies when deciding what to build, 遭遇战AI/建筑控制/在决定要建造什么时不考虑任何敌人。
 SkirmishAI/Build Control/Don't consider specific enemy when deciding what to build, 遭遇战AI/建筑控制/在决定要建造什么时不考虑特定敌人。
 SkirmishAI/Create a skirmish AI base, 遭遇战AI/创建遭遇战AI基地。
 SkirmishAI/Enemy Target Control/Clear all enemy players' priority, 遭遇战AI/敌方目标控制/清除所有敌方玩家的优先级。
 SkirmishAI/Enemy Target Control/Clear enemy player priority, 遭遇战AI/敌方目标控制/清除敌方玩家的优先级。
 SkirmishAI/Enemy Target Control/Set all enemy players' priority, 遭遇战AI/敌方目标控制/设置所有敌方玩家的优先级。
 SkirmishAI/Enemy Target Control/Set enemy player priority, 遭遇战AI/敌方目标控制/设置敌方玩家的优先级。
 SkirmishAI/Enemy Target Control/Set Skirmish AI favored enemy, 遭遇战AI/敌方目标控制/设置遭遇战AI首选敌人。
 SkirmishAI/Enemy Target Control/Use automatic enemy player prioritization scheme, 遭遇战AI/敌方目标控制/使用自动敌方玩家优先级方案。
 SkirmishAI/Enemy Target Control/Use default automatic enemy player prioritization scheme, 遭遇战AI/敌方目标控制/使用默认的自动敌方玩家优先级方案。
 SkirmishAI/Skirmish AI may repair buildings, 遭遇战AI/遭遇战AI可以修复建筑物。
 SkirmishAI/Skirmish AI Structure Rebuilds Rescan, 遭遇战AI/遭遇战AI结构重建重新扫描。
 SkirmishAI/Start AI Opening moves and timers(Turn on the Skirmish AI)., 遭遇战AI/开始AI开局策略和计时器（打开遭遇战AI）。
 SkirmishAI/Toggle SkirmishAI On-Off., 遭遇战AI/切换遭遇战AI开关。
 SkirmishAI/Transfer control of all player's units to or from Skirmish AI -- Enable Skirmish AI., 遭遇战AI/将所有玩家单位的控制权转移给遭遇战AI或从遭遇战AI转移控制权 - 启用遭遇战AI。
 SkirmishAI/Transfer control of Team to or from Skirmish AI., 遭遇战AI/将队伍的控制权转移给遭遇战AI或从遭遇战AI转移控制权。
 SkirmishAI/Transfer control of Unit to or from Skirmish AI., 遭遇战AI/将单个单位的控制权转移给遭遇战AI或从遭遇战AI转移控制权。
 SkirmishAI/Transfer ownership of all player's units to or from Skirmish AI -- Don't Enable Skirmish AI., 遭遇战AI/将所有玩家单位的所有权转移给遭遇战AI或从遭遇战AI转移所有权 - 不启用遭遇战AI。
 SkirmishAI/Turn on or off AI Base Builder., 遭遇战AI/打开或关闭AI基地建造器。
 SkirmishAI/Turn on or off AI Economy Manager., 遭遇战AI/打开或关闭AI经济管理器。
 SkirmishAI/Turn on or off AI Party Builder., 遭遇战AI/打开或关闭AI队伍建造器。
 SkirmishAI/Turn on or off AI Science Upgrader., 遭遇战AI/打开或关闭AI科技升级器。
 SkirmishAI/Turn on or off AI Unit Builder., 遭遇战AI/打开或关闭AI单位建造器。
 SkirmishAI/Turn on or off AI Unit Upgrader., 遭遇战AI/打开或关闭AI单位升级器。
 SkirmishAI/Turn on or off AI Wall Builder., 遭遇战AI/打开或关闭AI墙建造器。
 SkirmishAI/Turn on or off Tactical AI., 遭遇战AI/打开或关闭战术AI。
 SkirmishAI/Use Skirmish AI Structure Rebuilds, 遭遇战AI/使用遭遇战AI结构重建。
 Scripting/Attack Priority Set/Apply a team's attack priority set., Scripting/攻击优先级设置/应用一个队伍的攻击优先级设置。
 Scripting/Attack Priority Set/Apply named object's attack priority set., Scripting/攻击优先级设置/应用指定对象的攻击优先级设置。
 Scripting/Attack Priority Set/Modify a set's priorities for all of a kind., Scripting/攻击优先级设置/修改一个种类所有对象的优先级设置。
 Scripting/Attack Priority Set/Modify a set's priority for a single object type., Scripting/攻击优先级设置/修改单个对象类型的优先级设置。
 Scripting/Attack Priority Set/Specify the set's default priority., Scripting/攻击优先级设置/指定集合的默认优先级。
 Scripting/Counters/Counter do math opertation with another Counter., Scripting/计数器/计数器执行与另一个计数器的数学运算。
 Scripting/Counters/Counter do math opertation with value., Scripting/计数器/计数器执行与数值的数学运算。
 Scripting/Counters/Decrement counter., Scripting/计数器/递减计数器。
 Scripting/Counters/Increment counter., Scripting/计数器/递增计数器。
 Scripting/Counters/Set a random counter in seconds., Scripting/计数器/随机设置计数器，单位为秒。
 Scripting/Counters/Set a random counter., Scripting/计数器/随机设置计数器。
 Scripting/Counters/Set counter to a time in seconds., Scripting/计数器/将计数器设置为特定时间，单位为秒。
 Scripting/Counters/Set counter to a value., Scripting/计数器/将计数器设置为特定值。
 Scripting/Counters/Set counter to another counter., Scripting/计数器/将计数器设置为另一个计数器。
 Scripting/Counters/Set counter to number of objects owned by player with a model condition, Scripting/计数器/将计数器设置为拥有特定模型条件的玩家所拥有的对象数量。
 Scripting/Counters/Set counter to number of objects owned by player with kindof, Scripting/计数器/将计数器设置为拥有特定种类的玩家所拥有的对象数量。
 Scripting/Counters/Set number of object types owned by player to a counter including dead ones., Scripting/计数器/将拥有特定对象类型的玩家所拥有的对象数量（包括已死亡的对象）设置为计数器。
 Scripting/Counters/Set number of object types owned by player to counter., Scripting/计数器/将拥有特定对象类型的玩家所拥有的对象数量设置为计数器。
 Scripting/Counters/Set number of player kills of a kindof to counter., Scripting/计数器/将拥有特定种类的玩家所杀死的对象数量设置为计数器。
 Scripting/Counters/Set number of player kills of a type to counter., Scripting/计数器/将拥有特定类型的玩家所杀死的对象数量设置为计数器。
 Scripting/Counters/Set players money to counter., 脚本/计数器/将玩家货币设置为计数器。
 Scripting/Counters/Set units experience points to counter., 脚本/计数器/将单位经验点设置为计数器。
 Scripting/Counters/Set unit's health as percentage to counter., 脚本/计数器/将单位健康值设置为百分比计数器。
 Scripting/Data Tracking/Record object vs. object kills, 脚本/数据跟踪/记录物体之间的杀敌数。
 Scripting/Data Tracking/Store object vs. object kills to counter, 脚本/数据跟踪/将物体之间的杀敌数存储到计数器中。
 Scripting/Debug/Display a crash box (debug|internal builds only)., 脚本/调试/显示崩溃框（仅用于调试|内部版本）。
 Scripting/Debug/Display message and pause, 脚本/调试/显示消息并暂停。
 Scripting/Debug/Display string, 脚本/调试/显示字符串。
 Scripting/Debug/Null operation., 脚本/调试/空操作。
 Scripting/Disable script., 脚本/禁用脚本。
 Scripting/Enable Script., 脚本/启用脚本。
 Scripting/Flags/Set flag to another flag., 脚本/标志/将标志设置为另一个标志。
 Scripting/Flags/Set flag to value., 脚本/标志/将标志设置为值。
 Scripting/Object List/Add Object Type to Object List., 脚本/对象列表/将对象类型添加到对象列表中。
 Scripting/Object List/Remove Object Type from Object List., 脚本/对象列表/从对象列表中删除对象类型。
 Scripting/Reference/Find home base of player, 脚本/引用/查找玩家的主基地。
 Scripting/Reference/Set a reference to an object nearest-to-team, owned by player., 脚本/引用/将引用设置为最接近团队、由玩家拥有的对象。
 Scripting/Reference/Set reference to object type of player nearest team., 脚本/引用/将引用设置为玩家最接近的团队对象类型。
 Scripting/Reference/Set reference to unnamed object owned by player , 脚本/引用/将引用设置为由玩家拥有的未命名对象。
 Scripting/Run subroutine script., 脚本/运行子例程脚本。
 Scripting/Timer/Frame countdown timer -- set random., 脚本/计时器/帧倒计时器--随机设置。
 Scripting/Timer/Frame countdown timer -- set., 脚本/计时器/帧倒计时器--设置。
 Scripting/Timer/Seconds countdown timer -- add seconds., 脚本/计时器/秒倒计时器--添加秒数。
 Scripting/Timer/Seconds countdown timer -- set random., 脚本/计时器/秒倒计时器--随机设置。
 Scripting/Timer/Seconds countdown timer -- set., 脚本/计时器/秒倒计时器--设置。
 Scripting/Timer/Seconds countdown timer -- subtract seconds., 脚本/计时器/秒倒计时器--减去秒数。
 Scripting/Timer/Timer -- restart stopped., 脚本/计时器/计时器--重新启动停止。
 Scripting/Timer/Timer -- stop., 脚本/计时器/计时器--停止。
 Player/Allegiance/Change how Player relates to another player., 玩家/关系/更改玩家与其他玩家之间的关系。
 Player/Allegiance/Override Player's relationship to another team., 玩家/关系/覆盖玩家与另一个队伍之间的关系。
 Player/Build/Adjust the tech tree for a specific object type., 玩家/建造/调整特定对象类型的科技树。
 Player/Build/Allow or Disallow one building of a specific type, 玩家/建造/允许或禁止建造特定类型的建筑物。
 Player/Build/Permissions/Player is allowed to build buildings., 玩家/建造/权限/允许玩家建造建筑物。
 Player/Build/Permissions/Player is allowed to build units., 玩家/建造/权限/允许玩家建造单位。
 Player/Build/Permissions/Player is not allowed to build buildings., 玩家/建造/权限/不允许玩家建造建筑物。
 Player/Build/Permissions/Player is not allowed to build units., 玩家/建造/权限/不允许玩家建造单位。
 Player/Build/Player can build from an object type., 玩家/建造/玩家可以从对象类型中建造。
 Player/Build/Player cannot build from an object type., 玩家/建造/玩家无法从对象类型中建造。
 Player/Build/Player cannot build in a specific ally's buildability radii (ground control)., 玩家/建造/玩家无法在特定盟友的建造半径（地面控制）内建造。
 Player/Build/Set the delay between building teams., 玩家/建造/设置建造队伍之间的延迟时间。
 Player/Garrison/All of Player's units leave their garrisons., 玩家/驻军/玩家所有单位离开其驻扎点。
 Player/Money/Increase or Decrease Player's money., 玩家/金钱/增加或减少玩家的金钱。
 Player/Money/Set player's money cap., 玩家/金钱/设置玩家的金钱上限。
 Player/Money/Set Player's money., 玩家/金钱/设置玩家的金钱。
 Player/Money/Toggle allied resource sharing on-off., 玩家/金钱/打开或关闭盟友资源共享。
 Player/Power/Set the base power for the player., 玩家/能源/设置玩家的基础能源值。
 Player/Red Alerts/Disable Threat Level Bonus, 玩家/警报/禁用威胁级别奖励。
 Player/Remove, Sell, or Transfer All/Kill Player., 玩家/移除、出售或转让所有/杀死玩家。
 Player/Remove, Sell, or Transfer All/Player sells everything., 玩家/移除、出售或转让所有/玩家出售所有物品。
 Player/Remove, Sell, or Transfer All/Transfer assets from one player to another player., 玩家/移除、出售或转让所有/将资产从一个玩家转移到另一个玩家。
 Player/Retreat/Set all units on player to flee off map., 玩家/撤退/设置玩家的所有单位逃离地图。
 Player/Scoring/Exclude this player from the score screen., 玩家/得分/在得分界面中排除此玩家。
 Player/Special Power/Grant power to player., 玩家/特殊技能/授予玩家特殊技能。
 Player/Special Power/Lock or Unlock a player tech., 玩家/特殊技能/锁定或解锁玩家科技。
 Player/Special Power/Player's object's special power ignores requirements., 玩家/特殊技能/玩家对象的特殊技能忽略要求。
 Player/Special Power/Set maximum player power points., 玩家/特殊技能/设置最大玩家能量点数。
 Player/Special Power/Set special power availability., 玩家/特殊技能/设置特殊技能可用性。
 Player/Special Power/Set the players current power point total., 玩家/特殊技能/设置玩家当前能量点总数。
 Player/Special Power/Special power -- fire at enemy's highest cost area., 玩家/特殊技能/特殊技能 - 对敌方最高成本区域进行攻击。
 Player/Special Power/Special power -- fire at waypoint., 玩家/特殊技能/特殊技能 - 对航路点进行攻击。
 Player/Special Power/Special power -- fire on nearest object type to team owned by player., 玩家/特殊技能/特殊技能 - 对玩家团队拥有的最接近对象类型进行攻击。
 Player/Special Power/Special power -- fire on nearest object type to team., 玩家/特殊技能/特殊技能 - 对最接近团队的对象类型进行攻击。
 Player/Special Power/Special power -- fire on team., 玩家/特殊技能/特殊技能 - 对团队进行攻击。
 Player/Special Power/Special power -- set countdown timer., 玩家/特殊技能/特殊技能 - 设置倒计时计时器。
 Player/Upgrades and Sciences/Allow or Disallow one upgrade, 玩家/升级和科技/允许或禁止一个升级
 Player/Upgrades and Sciences/Give Player an Upgrade., 玩家/升级和科技/给玩家一个升级
 Player/Upgrades and Sciences/Remove upgrade from Player., 玩家/升级和科技/从玩家中删除一个升级
 Object Type/Allegiance/Force named object to join team., 物体类型/忠诚度/强制命名的对象加入某个队伍。
 Object Type/Allegiance/Transfer a named object to the control of a Player., 物体类型/忠诚度/将命名的对象转移到某个玩家的控制下。
 Object Type/Attack/Hunt (choose enemy target, move towards it, and attack when within range)., 物体类型/攻击/猎杀（选择敌人目标，朝其移动，并在射程范围内攻击）。
 Object Type/Attack/Move unit towards the nearest object of a specific type, 物体类型/攻击/向特定类型的最近对象移动单位。
 Object Type/Attack/Named object attack-move along a waypoint path., 物体类型/攻击/命名的对象沿着航路点路径攻击移动。
 Object Type/Attack/Named object attack-move to a location., 物体类型/攻击/命名的对象攻击移动到一个位置。
 Object Type/Attack/Named object attacks an area for a given number of seconds., 物体类型/攻击/命名的对象在一定时间内攻击一个区域。
 Object Type/Attack/Named object attacks an area., 物体类型/攻击/命名的对象攻击一个区域。
 Object Type/Attack/Named object attacks Team., 物体类型/攻击/命名的对象攻击队伍。
 Object Type/Attack/Named Object force attack a named object., 物体类型/攻击/命名的对象强制攻击一个命名的对象。
 Object Type/Attack/Named Object force attack a waypoint., 物体类型/攻击/命名的对象强制攻击一个航路点。
 Object Type/Attack/Set named object to capture a named object., 物体类型/攻击/设置命名的对象去捕获一个命名的对象。
 Object Type/Attack/Set unit to attack another unit., 物体类型/攻击/设置单位攻击另一个单位。
 Object Type/CommandButton/Use commandbutton ability at a waypoint., 对象类型/命令按钮/在路径点使用命令按钮技能。
 Object Type/CommandButton/Use commandbutton ability at nearest enemy building kindof., 对象类型/命令按钮/在最近的敌方建筑类型处使用命令按钮技能。
 Object Type/CommandButton/Use commandbutton ability at nearest enemy building., 对象类型/命令按钮/在最近的敌方建筑处使用命令按钮技能。
 Object Type/CommandButton/Use commandbutton ability at nearest enemy garrisoned building., 对象类型/命令按钮/在最近的敌方驻守建筑处使用命令按钮技能。
 Object Type/CommandButton/Use commandbutton ability at nearest enemy object with kind of., 对象类型/命令按钮/在最近的敌方对象（该对象类型）处使用命令按钮技能。
 Object Type/CommandButton/Use commandbutton ability at nearest enemy unit, 对象类型/命令按钮/在最近的敌方单位处使用命令按钮技能。
 Object Type/CommandButton/Use commandbutton ability at nearest object type., 对象类型/命令按钮/在最近的对象类型处使用命令按钮技能。
 Object Type/CommandButton/Use commandbutton ability on a specific Unit., 对象类型/命令按钮/在特定的单位上使用命令按钮技能。
 Object Type/CommandButton/Use commandbutton ability., 对象类型/命令按钮/使用命令按钮技能。
 Object Type/Damage or Remove/Deal damage to a named object., 对象类型/伤害或移除/对命名对象造成伤害。
 Object Type/Damage or Remove/Delete a named object., 对象类型/伤害或移除/删除命名对象。
 Object Type/Damage or Remove/Kill a named object., 对象类型/伤害或移除/击杀命名对象。
 Object Type/Damage or Remove/Kill all units belonging to the specified player in the specified area., 对象类型/伤害或移除/在指定区域内杀死属于指定玩家的所有单位。
 Object Type/Damage or Remove/Kill all units contained within a specific transport or structure., 对象类型/伤害或移除/杀死特定运输或建筑内的所有单位。
 Object Type/Damage or Remove/Sell off named Object., 对象类型/伤害或移除/出售命名对象。
 Object Type/Damage or Remove/Set the health of the unit (in percentage)., 对象类型/伤害或移除/设置单位的生命值（以百分比表示）。
 Object Type/Delete all unmanned (sniped) vehicles., 对象类型/删除所有无人驾驶（被狙击）的载具。
 Object Type/Experience/Gives a named object experience points., 对象类型/经验/给予命名对象经验值。
 Object Type/Experience/Named object levels up with visual FX., 对象类型/经验/命名对象升级，伴随着视觉特效。
 Object Type/Experience/Sets a named object's experience points., 对象类型/经验/设置命名对象的经验值。
 Object Type/Flash or Color/Flash a named object white for a specified amount of time., 对象类型/闪光或颜色/闪烁命名对象为白色，持续一定时间。
 Object Type/Flash or Color/Flash a specific unit for a specified amount of time., 对象类型/闪光或颜色/闪烁特定单位一段时间。
 Object Type/Flash or Color/Outline a specific unit with an outline type., 对象类型/闪光或颜色/使用轮廓类型为特定单位添加轮廓。
 Object Type/Flash or Color/Set a named object to use a special indicator color., 对象类型/闪光或颜色/设置命名对象使用特殊指示颜色。
 Object Type/Garrison/Empty a named object., 对象类型/进驻/清空指定对象。
 Object Type/Garrison/Garrison a named object instantly with a named object., 对象类型/进驻/立即用指定对象进驻指定对象。
 Object Type/Garrison/Garrison a named object with a named object., 对象类型/进驻/用指定对象进驻指定对象。
 Object Type/Garrison/Garrison a nearby structure with a named object., 对象类型/进驻/用指定对象进驻附近建筑。
 Object Type/Garrison/Named object exit whatever object it's in., 对象类型/进驻/指定对象退出当前所在对象。
 Object Type/Guard/Named object guard an area from a location., 对象类型/守卫/指定对象在指定位置守卫区域。
 Object Type/Guard/Named object guard another named object., 对象类型/守卫/指定对象守卫另一指定对象。
 Object Type/Guard/Named object guard area., 对象类型/守卫/指定对象守卫区域。
 Object Type/Guard/Named object guard at location., 对象类型/守卫/指定对象在指定位置守卫。
